DETAILED PER-QUERY EVALUATION
======================================================================
Generated: 2025-10-21 15:14:36

VECTOR SPACE MODEL - Per-Query Results
----------------------------------------------------------------------
QueryID | AP     | Recall
----------------------------------------------------------------------
    230 | 0.0000 | 0.0000
    110 | 0.0000 | 0.0000
    231 | 0.0000 | 0.0000
    352 | 0.0000 | 0.0000
    111 | 0.0000 | 0.0000
    232 | 0.0000 | 0.0000
    353 | 0.0000 | 0.0000
    112 | 0.0000 | 0.0000
    233 | 0.0000 | 0.0000
    113 | 0.0057 | 0.2500
    234 | 0.0000 | 0.0000
    355 | 0.0000 | 0.0000
    114 | 0.0000 | 0.0000
    356 | 0.0000 | 0.0000
    116 | 0.0000 | 0.0000
    118 | 0.0000 | 0.0000
    119 | 0.0000 | 0.0000
    360 | 0.0000 | 0.0000
    120 | 0.0000 | 0.0000
    241 | 0.0000 | 0.0000
    121 | 0.0119 | 0.4286
    001 | 0.0000 | 0.0000
    122 | 0.0000 | 0.0000
    002 | 0.0000 | 0.0000
    123 | 0.0000 | 0.0000
    365 | 0.0000 | 0.0000
    245 | 0.0000 | 0.0000
    004 | 0.0000 | 0.0000
    246 | 0.0000 | 0.0000
    126 | 0.0000 | 0.0000
    247 | 0.0000 | 0.0000
    128 | 0.0000 | 0.0000
    008 | 0.0000 | 0.0000
    009 | 0.0000 | 0.0000
    250 | 0.0000 | 0.0000
    130 | 0.0000 | 0.0000
    251 | 0.0000 | 0.0000
    010 | 0.0000 | 0.0000
    131 | 0.0000 | 0.0000
    252 | 0.0000 | 0.0000
    132 | 0.0000 | 0.0000
    253 | 0.0000 | 0.0000
    012 | 0.0000 | 0.0000
    133 | 0.0000 | 0.0000
    254 | 0.0000 | 0.0000
    013 | 0.0000 | 0.0000
    255 | 0.0000 | 0.0000
    135 | 0.0000 | 0.0000
    015 | 0.0000 | 0.0000
    136 | 0.0000 | 0.0000
    257 | 0.0000 | 0.0000
    137 | 0.0000 | 0.0000
    138 | 0.0000 | 0.0000
    259 | 0.0000 | 0.0000
    018 | 0.0000 | 0.0000
